policy_number,age,months_as_customer,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,capital-gains,capital-loss,incident_type,incident_severity,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,property_damage,police_report_available,total_claim_amount,auto_make,auto_year,vehicle_claim,property_claim,injury_claim,fraud_reported
POL74675732,45,187,OH,250/500,500,2075.83,F,PhD,Tech,44647.90018191074,25087.233237784356,Parked Car Damage,Total Loss,21,1,0,0,NO,NO,12536.8,Mercedes,2014,5412.34,1917.71,3182.86,Y
POL51415617,34,44,OH,250/500,1500,4630.15,F,PhD,Construction,32706.603474122072,20872.353629100973,Parked Car Damage,Trivial Damage,10,2,1,0,YES,NO,3663.16,Audi,2007,2918.39,934.06,331.56,N
POL31243219,63,9,NY,250/500,1000,2950.28,F,BS,Retail,10074.085831387569,20951.672282546202,Vehicle Rollover,Trivial Damage,22,1,0,1,NO,NO,4076.44,Audi,2008,1673.6,1231.46,521.0,Y
POL79247617,67,82,PA,100/300,1000,2237.5,F,BS,Construction,35052.2174865898,17721.628620758012,Single Vehicle Collision,Major Damage,6,1,0,2,YES,NO,8782.69,BMW,2009,4532.12,2617.4,2364.25,N
POL40353005,19,145,PA,250/500,2000,830.47,M,BS,Education,44710.96624016992,1422.3744017885986,Vehicle Rollover,Major Damage,1,2,0,0,YES,YES,6997.53,Honda,2012,3370.19,859.58,326.58,N
POL68417273,53,0,NY,100/300,1500,2590.86,M,High School,Finance,1511.2779755900585,22417.56225924865,Parked Car Damage,Minor Damage,22,1,1,2,YES,YES,5951.3482112783095,Mazda,2025,464.53,228.1,124.48,Y
POL40697541,67,7,IN,100/300,2000,1750.54,F,PhD,Education,12140.606110342833,10756.528417791515,Fire Damage,Major Damage,18,3,1,0,YES,NO,57656.06015790231,BMW,2013,3594.46,1411.71,567.46,Y
POL32630150,24,24,IL,500/1000,1500,844.76,M,PhD,Legal,7659.041230039765,25085.583537545546,Single Vehicle Collision,Minor Damage,15,1,0,1,YES,NO,1816.46,Audi,2023,1303.85,377.65,439.03,N
POL89229830,30,26,IN,500/1000,1000,3516.75,M,MS,Tech,39205.15005732278,7398.616243316947,Multi-Vehicle Collision,Major Damage,1,2,0,1,YES,NO,10527.41,Mazda,2014,6620.26,3999.08,2704.78,N
POL92213370,32,10,NY,250/500,500,4898.02,M,MS,Finance,44573.870453604766,20103.307784647786,Fire Damage,Minor Damage,7,1,1,0,YES,YES,43872.394446431266,Audi,2024,3984.7,1831.24,1412.39,Y
POL45038607,42,171,PA,100/300,1500,2205.12,M,PhD,Construction,27727.873827559175,18112.505563099487,Theft,Major Damage,10,2,0,2,YES,YES,3563.94,BMW,2023,1444.63,697.3,138.32,N
POL29430628,40,105,PA,250/500,1000,1837.69,M,High School,Tech,42410.09339198749,3360.8906465097966,Hit and Run,Major Damage,9,1,0,1,YES,YES,5214.23,Toyota,2017,3599.85,998.48,1390.91,N
POL73451295,39,156,OH,250/500,1000,904.82,F,High School,Tech,32846.85814671936,4089.307075756645,Theft,Trivial Damage,3,1,0,1,YES,YES,1646.61,Nissan,2007,768.83,224.07,17.03,N
POL19728558,43,222,OH,500/1000,1000,1504.15,F,MS,Education,32834.977077828305,29996.601963680398,Parked Car Damage,Minor Damage,18,1,0,1,YES,YES,6965.17,Mercedes,2023,4564.81,917.92,826.45,Y
POL67931602,50,43,PA,250/500,500,1782.38,M,MS,Construction,28985.408427305436,10065.03911074807,Theft,Minor Damage,1,1,0,1,YES,YES,7084.97,Ford,2013,3465.14,920.47,151.04,N
POL78634876,28,106,PA,250/500,1000,2048.79,M,MS,Retail,2500.935041833574,12224.440446345096,Broken Windshield,Trivial Damage,16,1,0,0,YES,YES,3824.75,BMW,2020,1801.95,560.74,57.9,N
POL56128069,27,35,OH,500/1000,2000,3352.85,F,MS,Other,46848.90526053993,25664.296544228022,Theft,Total Loss,22,2,0,1,NO,YES,8477.03,Chevrolet,2007,3905.86,1003.14,900.56,N
POL55211095,42,146,OH,250/500,1000,1016.93,F,MS,Construction,17788.571341927356,18930.967188457584,Multi-Vehicle Collision,Total Loss,1,2,2,0,YES,YES,17414.95,Ford,2023,9221.83,3628.68,2014.63,N
POL31615667,54,5,IN,250/500,1000,762.91,M,BS,Tech,40128.88525824989,20374.465915882723,Hit and Run,Major Damage,0,1,0,1,NO,YES,7369.05,Audi,2022,4684.35,2197.79,492.07,N
POL85971341,65,1,PA,100/300,1500,4687.62,F,PhD,Legal,40499.22852366186,19093.997427572303,Theft,Trivial Damage,21,1,0,0,YES,YES,15900.043822389382,Audi,2017,945.03,485.19,217.44,Y
POL12928810,60,158,PA,250/500,1500,4096.35,F,PhD,Tech,48288.06172332586,9702.072434399126,Single Vehicle Collision,Minor Damage,19,2,2,0,YES,YES,7005.83,BMW,2009,2999.56,1329.3,954.4,N
POL42385247,70,8,NY,500/1000,1500,1752.0,M,MS,Medical,16334.981955128847,24875.73678995849,Multi-Vehicle Collision,Total Loss,12,2,1,2,NO,YES,10972.88,Mercedes,2011,7399.51,1834.64,2038.34,N
POL96554508,55,5,IN,500/1000,1000,3374.56,M,PhD,Education,49869.97003083823,1012.2584216162678,Multi-Vehicle Collision,Minor Damage,23,1,3,0,YES,YES,10262.317867906739,Toyota,2017,1000.66,311.73,8.58,Y
POL55488598,58,9,IL,100/300,1000,3166.22,F,PhD,Tech,15028.724054593213,11023.633539608752,Theft,Minor Damage,22,2,1,1,YES,NO,2073.18,Nissan,2020,840.08,502.57,462.33,Y
POL06904398,62,164,IL,500/1000,2000,3843.55,M,BS,Construction,22568.508245228742,28635.941008634527,Theft,Trivial Damage,5,1,1,0,YES,YES,3018.27,Audi,2013,2001.97,680.27,89.26,N
POL78889994,41,154,IL,500/1000,500,4366.83,M,BS,Medical,35312.50164335653,11356.59164453312,Hit and Run,Trivial Damage,13,3,0,2,NO,YES,3028.53,Mercedes,2008,1761.4,1000.9,284.54,N
POL98440602,57,12,OH,500/1000,1000,2109.88,M,High School,Legal,7749.431398408374,503.54614976912404,Multi-Vehicle Collision,Major Damage,3,2,1,1,NO,YES,11362.13,BMW,2022,5928.07,4375.6,1706.82,N
POL69095940,63,40,IL,250/500,500,3473.74,M,High School,Education,13318.65922317374,5760.5252925420355,Single Vehicle Collision,Minor Damage,11,2,1,0,YES,NO,1301.4,Mercedes,2012,955.2,393.54,200.21,N
POL52198990,73,127,NY,100/300,1000,4109.18,F,MS,Finance,36405.67536820939,28324.277580064576,Fire Damage,Minor Damage,5,2,0,1,YES,NO,1826.25,Nissan,2022,730.93,320.64,131.59,N
POL20777308,50,65,OH,100/300,500,3646.82,M,High School,Other,48719.20773983753,25477.50826148779,Single Vehicle Collision,Major Damage,19,1,0,1,NO,YES,3233.16,Mercedes,2009,2187.76,400.47,491.68,N
POL81530293,34,6,OH,100/300,1500,4649.61,F,MS,Retail,36639.938947506096,5861.930138538562,Parked Car Damage,Trivial Damage,8,1,1,1,YES,NO,9333.84927508371,Honda,2013,1487.46,415.83,75.29,Y
POL33677052,41,11,IL,100/300,1000,2726.09,M,High School,Other,43114.93892579919,29324.991003392992,Hit and Run,Trivial Damage,22,1,0,1,NO,YES,2465.11,Audi,2009,1730.39,646.47,262.6,Y
POL97925384,54,23,OH,500/1000,2000,4111.88,M,PhD,Other,1874.3376211042496,4766.395500166342,Vehicle Rollover,Minor Damage,5,1,1,2,NO,YES,3719.7,Toyota,2024,1748.92,1409.8,261.22,N
POL12791325,74,43,IN,250/500,500,4593.84,M,PhD,Education,28851.295471038553,29769.43455920657,Single Vehicle Collision,Trivial Damage,11,1,0,0,YES,NO,4167.53,Audi,2018,1677.94,1137.19,555.07,N
POL33258884,19,105,IN,500/1000,1500,3006.74,M,High School,Tech,45704.59330396964,25336.591558747637,Theft,Minor Damage,3,2,0,1,YES,NO,5267.93,Mazda,2018,2380.53,1385.21,665.6,N
POL04162742,49,97,IL,500/1000,2000,577.82,M,PhD,Medical,34119.85207324163,27379.40577593771,Vehicle Rollover,Minor Damage,7,1,2,0,YES,YES,6123.17,Honda,2020,2854.2,1428.36,1295.22,N
POL21211544,74,59,NY,500/1000,1500,4181.04,M,PhD,Legal,33823.11456782304,4191.304792053437,Multi-Vehicle Collision,Trivial Damage,11,1,1,0,YES,YES,3868.9,Audi,2011,2674.13,620.54,821.4,N
POL48502461,41,8,OH,500/1000,1000,4307.15,M,MS,Medical,10152.0102517692,9052.302980877255,Hit and Run,Major Damage,3,1,0,0,NO,YES,6608.59,Audi,2022,4656.04,736.09,1332.09,N
POL01681071,26,129,PA,100/300,2000,2299.33,M,PhD,Other,43057.05832888744,21060.80151319509,Broken Windshield,Trivial Damage,6,1,0,0,YES,YES,2905.61,Nissan,2015,1297.38,340.36,54.2,N
POL37797309,21,55,IL,100/300,500,1530.85,F,High School,Other,43252.26770592926,15157.642654483385,Hit and Run,Minor Damage,8,1,0,0,NO,NO,2720.19,Nissan,2015,1200.04,648.22,620.79,N
POL51460737,34,157,OH,250/500,500,4901.67,F,PhD,Finance,30700.351899829904,8747.915986268545,Single Vehicle Collision,Trivial Damage,2,2,1,1,YES,YES,3502.14,Honda,2024,2204.48,772.93,327.46,N
POL20403240,34,21,IL,500/1000,2000,2982.31,F,MS,Medical,21330.91030013657,20862.372826095958,Single Vehicle Collision,Major Damage,20,1,0,0,YES,NO,8174.84,Honda,2017,5923.14,2543.14,607.41,N
POL44012178,70,237,IL,100/300,500,2822.81,F,High School,Tech,41213.67323332886,23389.879428109678,Hit and Run,Major Damage,0,2,0,0,NO,NO,6763.76,Mercedes,2010,5109.32,2538.12,864.51,N
POL56343614,67,202,NY,250/500,1500,4757.33,F,MS,Education,23249.784143843837,8562.628757316732,Broken Windshield,Minor Damage,19,1,1,1,YES,YES,2176.56,Ford,2011,951.49,671.03,0.52,N
POL55012904,65,234,PA,500/1000,2000,2336.44,M,PhD,Other,41130.73183455785,2574.8012177883616,Vehicle Rollover,Minor Damage,18,1,1,1,YES,YES,6674.01,Honda,2018,4536.43,2184.92,1068.53,N
POL31286866,47,80,OH,500/1000,500,4316.61,M,PhD,Finance,24245.787357998717,17230.912715480394,Hit and Run,Major Damage,15,1,2,1,YES,YES,3909.33,Honda,2024,2104.6,1044.44,116.32,N
POL77564698,57,99,IL,100/300,1500,3652.93,M,PhD,Retail,28989.697432010566,11895.560481709723,Theft,Major Damage,2,1,0,1,NO,NO,6390.71,Honda,2006,4257.16,1245.73,439.32,N
POL36332094,28,12,IL,500/1000,500,4854.72,M,BS,Legal,37401.10176963605,26333.46851011159,Broken Windshield,Major Damage,5,1,2,0,YES,NO,8727.27,Nissan,2022,4846.16,2141.98,1911.96,N
POL81685319,38,70,OH,500/1000,1500,2428.93,F,MS,Retail,13249.679296232169,1350.320838792135,Parked Car Damage,Minor Damage,5,2,2,0,YES,NO,1758.15,Mercedes,2018,948.79,264.59,233.81,N
POL99087014,38,15,IL,100/300,1000,4584.32,F,High School,Tech,12342.261381894848,19137.280283782762,Broken Windshield,Minor Damage,17,3,0,0,YES,YES,6949.25,BMW,2009,3619.91,1551.63,1384.36,N
POL61870273,35,4,IL,250/500,1500,3059.96,F,PhD,Finance,33392.064299259546,1424.4560664739224,Hit and Run,Minor Damage,21,1,1,2,YES,YES,1319.28,BMW,2012,815.11,407.54,83.24,Y
POL92467831,72,9,IL,250/500,500,2641.44,F,BS,Finance,47695.66397044393,3397.65476828506,Broken Windshield,Minor Damage,1,1,1,0,YES,NO,52121.550462740124,BMW,2022,3246.53,1205.4,134.65,Y
POL46425088,46,64,IN,100/300,1500,1875.49,M,BS,Tech,22301.698262035658,11061.778045133758,Vehicle Rollover,Minor Damage,13,2,0,0,NO,NO,6449.71,Ford,2007,3212.46,1400.53,696.51,N
POL23243969,41,138,IN,100/300,500,2987.14,M,MS,Construction,44910.116944278896,6858.659778461386,Multi-Vehicle Collision,Trivial Damage,1,1,0,0,YES,YES,2992.82,Honda,2016,2128.39,1081.26,574.47,N
POL64773237,27,69,PA,250/500,2000,3076.48,M,PhD,Finance,25909.355358852405,4853.591068929083,Vehicle Rollover,Total Loss,23,1,3,1,YES,YES,29031.1573923299,Mercedes,2007,1413.84,959.26,67.83,Y
POL24929213,62,147,NY,250/500,2000,4542.76,F,MS,Legal,48696.561336881,23793.723110189832,Theft,Trivial Damage,23,1,3,0,YES,YES,546.83,Toyota,2019,388.65,58.7,48.88,N
POL32406186,34,98,OH,100/300,1000,3668.28,F,PhD,Other,39602.37327247922,6967.534836290111,Hit and Run,Minor Damage,22,1,1,2,YES,YES,31764.91816936387,Mercedes,2024,2471.39,615.01,1338.11,Y
POL94605692,35,235,NY,100/300,1500,4219.13,M,PhD,Medical,42977.87667038533,10940.1317062121,Hit and Run,Major Damage,0,1,2,1,YES,NO,8549.43,Mazda,2019,4936.25,2748.82,2167.26,N
POL74505695,59,190,NY,100/300,1000,3961.09,M,PhD,Medical,33980.20137638393,27236.570337964506,Multi-Vehicle Collision,Minor Damage,23,3,0,2,YES,YES,63189.01604132583,Audi,2015,5011.53,2799.32,463.44,Y
POL82616913,65,100,IN,500/1000,2000,1744.91,M,BS,Tech,43424.62878334661,23565.730701534914,Theft,Trivial Damage,8,1,0,2,YES,YES,3871.59,Mazda,2020,2251.26,1470.22,762.79,N
POL43812580,37,104,PA,100/300,1500,1426.09,F,MS,Tech,29639.913916669946,15721.06637436247,Fire Damage,Minor Damage,6,1,3,1,NO,YES,1007.43,Ford,2021,758.43,107.0,300.42,N
POL25621974,54,217,NY,500/1000,1500,1663.17,F,MS,Medical,28366.83827740664,2816.8595404790153,Fire Damage,Total Loss,5,1,2,1,YES,YES,9510.95,Mazda,2008,3849.25,2177.93,309.51,N
POL76044042,62,5,NY,250/500,1000,1159.61,M,MS,Education,43685.57355761827,28363.634806068432,Broken Windshield,Minor Damage,22,1,0,0,NO,YES,37357.70141058698,Mercedes,2013,2172.42,1037.15,661.3,Y
POL41426562,35,11,IL,250/500,1000,2236.83,F,High School,Tech,753.3085391361772,21273.270065728007,Broken Windshield,Major Damage,12,2,0,0,YES,YES,10629.826653204584,BMW,2019,1199.73,292.23,73.13,Y
POL61604643,34,93,OH,100/300,1500,3442.55,M,High School,Medical,23938.94515270233,1053.2715380374457,Broken Windshield,Minor Damage,8,1,1,2,YES,YES,2172.29,Nissan,2010,1722.0,628.59,222.67,N
POL00724766,26,219,PA,100/300,1500,2916.4,M,BS,Education,43503.69570985051,28464.36839418893,Fire Damage,Minor Damage,9,1,0,0,NO,YES,1506.76,Nissan,2012,1052.99,218.55,242.71,N
POL05313978,31,7,OH,250/500,1500,3556.46,M,BS,Education,9807.476385116031,2151.905442371409,Parked Car Damage,Trivial Damage,23,1,0,0,YES,NO,18199.12453437107,Chevrolet,2012,1366.41,784.81,505.23,Y
POL37476693,66,41,IN,250/500,1000,2102.44,F,BS,Construction,47900.466074028016,18089.856010839885,Single Vehicle Collision,Major Damage,13,3,0,0,NO,YES,8732.39,Toyota,2016,4740.31,2835.58,459.77,N
POL77724242,46,82,NY,250/500,500,1423.75,F,MS,Medical,37030.08744792257,11816.798508545027,Vehicle Rollover,Major Damage,16,3,3,0,YES,YES,2845.34,Chevrolet,2021,1396.07,555.24,767.53,N
POL78412876,48,196,NY,250/500,2000,1412.41,F,MS,Legal,38121.12415514347,29426.662509137004,Vehicle Rollover,Trivial Damage,3,1,0,0,YES,NO,3911.42,Ford,2016,2348.46,683.3,669.46,N
POL12826124,21,185,OH,100/300,2000,3203.88,F,PhD,Legal,33273.80904070414,27692.01046612456,Hit and Run,Minor Damage,23,1,0,0,YES,YES,2517.11,Toyota,2006,1230.81,393.03,714.59,Y
POL99877999,35,132,IN,500/1000,1000,1239.33,F,MS,Construction,22373.72041314888,17964.573288565865,Vehicle Rollover,Major Damage,13,2,0,0,YES,YES,10476.94,BMW,2021,6977.94,1957.53,146.03,N
POL48194068,37,104,IL,250/500,1500,2287.25,M,BS,Medical,23047.82118999169,21036.3804947701,Broken Windshield,Minor Damage,23,1,0,0,YES,YES,5115.99,Audi,2009,2313.46,533.45,1484.03,N
POL12756104,73,154,IL,250/500,2000,1457.75,M,BS,Finance,41955.40602037448,24648.99895856685,Broken Windshield,Total Loss,12,1,0,1,YES,YES,16089.95,Ford,2009,6534.24,4085.7,4753.99,N
POL08673258,73,27,NY,500/1000,2000,3482.42,F,PhD,Education,6956.967171463135,24609.411774896816,Multi-Vehicle Collision,Trivial Damage,4,1,1,1,YES,YES,1804.32,Mercedes,2011,1096.77,592.07,293.42,N
POL68481062,64,25,NY,100/300,2000,3269.39,F,High School,Retail,26103.37255821992,17973.913537979875,Parked Car Damage,Major Damage,0,3,0,0,YES,NO,10444.86,Mercedes,2008,6251.6,1962.15,2020.63,N
POL47165693,60,218,PA,500/1000,2000,2215.06,M,MS,Finance,15497.352933753522,7549.918737225125,Broken Windshield,Minor Damage,5,1,1,1,NO,YES,4880.19,Chevrolet,2016,3515.95,1326.06,1196.31,N
POL86512054,61,115,OH,100/300,1500,1079.23,F,MS,Finance,49215.82042924463,9381.274306795856,Hit and Run,Total Loss,0,1,0,1,YES,YES,11334.84,BMW,2022,6460.48,3144.16,1806.2,N
POL15280786,26,48,NY,100/300,1000,1453.18,F,High School,Education,184.64935506033453,19969.460314371074,Theft,Major Damage,16,1,1,0,NO,YES,2981.74,Mercedes,2014,1982.61,448.26,1.64,N
POL47701696,30,233,IN,100/300,1500,2624.94,F,BS,Legal,3183.71701216324,20635.48559567414,Single Vehicle Collision,Minor Damage,13,2,2,2,NO,YES,941.29,Toyota,2019,465.6,248.23,31.9,N
POL20233627,32,148,OH,100/300,1500,4874.37,F,BS,Other,48369.393337995425,11143.9946255495,Multi-Vehicle Collision,Minor Damage,16,1,0,0,YES,NO,7233.29,Ford,2023,3043.97,889.45,1664.25,N
POL06538137,44,11,PA,100/300,2000,1718.49,M,BS,Education,27189.5873342896,26632.93197546055,Single Vehicle Collision,Trivial Damage,22,2,3,0,YES,YES,4374.86,Mercedes,2020,2631.61,1138.47,903.17,Y
POL89562354,32,9,IL,250/500,2000,1360.36,F,MS,Education,6926.755700784843,12001.937346626155,Vehicle Rollover,Major Damage,23,1,1,1,YES,YES,64734.67164123397,Mercedes,2024,5207.48,2753.57,150.33,Y
POL35129045,45,239,PA,100/300,1500,1493.08,M,High School,Tech,22432.01454137409,20954.988594246188,Vehicle Rollover,Major Damage,6,3,1,1,YES,YES,5464.38,BMW,2019,3222.6,1203.56,572.9,N
POL89638595,54,57,OH,250/500,1500,3686.63,F,High School,Medical,16132.87714594439,6281.898556189549,Fire Damage,Minor Damage,9,1,1,1,YES,YES,6218.18,Toyota,2023,4943.0,1207.35,944.64,N
POL24050045,72,78,IL,100/300,1500,4616.08,F,BS,Other,45560.40744519438,10592.466926018558,Theft,Trivial Damage,14,3,0,2,YES,NO,2010.45,BMW,2010,1462.51,324.48,392.71,N
POL10666058,36,182,IN,250/500,500,838.27,M,MS,Legal,34378.96563161534,16382.16228776258,Theft,Total Loss,11,1,2,1,NO,YES,10613.49,Chevrolet,2015,5765.41,3599.54,1152.64,N
POL80959243,43,80,IL,500/1000,2000,3871.8,M,High School,Construction,6525.942873253776,1129.0312765356769,Parked Car Damage,Minor Damage,22,3,3,1,YES,YES,6774.82,Chevrolet,2020,4349.98,1605.54,1632.88,N
POL98158832,69,25,IL,500/1000,1000,2725.73,F,MS,Medical,26822.28090142719,1257.2371195797361,Single Vehicle Collision,Major Damage,7,1,2,0,YES,YES,4432.59,BMW,2007,2754.76,1501.9,500.85,N
POL25702116,43,211,IN,250/500,1000,4213.36,M,PhD,Medical,6723.008617757753,8094.784600232352,Multi-Vehicle Collision,Minor Damage,15,1,0,1,YES,YES,2340.14,Honda,2023,1163.59,877.05,271.18,N
POL86602892,42,5,NY,100/300,1000,2396.77,M,BS,Education,33261.53182523684,24833.103193219413,Theft,Major Damage,5,1,0,0,YES,NO,107505.04178440377,Mercedes,2021,5093.14,4087.18,1128.73,Y
POL81498965,43,76,NY,250/500,500,523.47,M,BS,Other,36361.36425342054,6495.0380465160815,Theft,Trivial Damage,10,1,0,1,NO,YES,648.15,Mazda,2006,334.67,230.64,52.34,N
POL69178154,43,160,IL,250/500,500,3572.58,F,PhD,Finance,28108.003586430812,26576.396924894292,Single Vehicle Collision,Minor Damage,5,3,1,1,YES,NO,1386.74,Honda,2017,595.1,228.89,127.54,N
POL83611538,63,216,IL,100/300,1000,4135.87,F,High School,Education,48297.790505798934,21481.843588327032,Single Vehicle Collision,Minor Damage,21,2,0,2,NO,NO,3864.32,Chevrolet,2015,2220.52,1016.69,115.04,N
POL33664493,45,71,PA,500/1000,1000,4559.09,F,BS,Education,47216.722549516984,20667.637703411183,Theft,Major Damage,0,2,2,1,YES,YES,11667.45,Honda,2020,9013.95,3277.58,1810.17,N
POL47430342,66,68,NY,250/500,1000,3060.73,F,High School,Other,10295.780995747233,20223.552282287485,Broken Windshield,Total Loss,17,1,1,0,NO,YES,20559.04,Toyota,2020,15972.6,3079.0,2595.29,N
POL67845661,35,5,IN,500/1000,1500,1049.22,M,BS,Other,16.4692752895268,29289.308177982777,Theft,Major Damage,2,1,2,0,YES,YES,9728.51,Audi,2016,5590.4,3151.56,1002.28,N
POL15568160,49,22,IL,500/1000,2000,2164.26,F,PhD,Finance,33137.440887335564,19010.48293754165,Single Vehicle Collision,Minor Damage,7,2,1,0,YES,YES,5247.68,Mazda,2010,2191.48,608.8,41.85,N
POL96405787,70,157,IL,500/1000,500,4029.13,F,PhD,Retail,23782.077864813993,19478.286860875647,Single Vehicle Collision,Minor Damage,7,2,0,0,NO,NO,4494.82,Mercedes,2018,3259.18,1438.94,1297.45,N
POL66017829,20,205,PA,250/500,500,2724.86,F,High School,Construction,16732.92621117985,13601.976364411112,Theft,Trivial Damage,0,1,1,0,NO,YES,2753.51,Mazda,2017,1707.76,497.92,290.46,N
POL61473074,19,53,PA,250/500,1500,3646.6,M,BS,Tech,45844.48781219496,26169.205404113585,Theft,Trivial Damage,4,2,3,2,YES,NO,2902.8,Chevrolet,2016,1810.77,417.4,500.58,N
POL80279727,50,86,PA,100/300,500,521.1,M,BS,Retail,48925.38834917417,1722.1240193474719,Theft,Trivial Damage,3,1,1,1,YES,NO,1188.04,BMW,2011,548.05,185.12,113.22,N
POL30199699,59,10,OH,100/300,1000,828.51,F,MS,Education,46528.863457341264,10329.131283824154,Vehicle Rollover,Trivial Damage,0,1,0,2,YES,YES,396.07,BMW,2019,178.6,90.66,100.22,N
POL46521745,36,158,IN,250/500,500,3565.24,M,MS,Medical,25009.762902537554,8599.882823335021,Broken Windshield,Major Damage,15,2,0,0,YES,NO,3514.04,Chevrolet,2023,1698.51,829.95,53.17,N
POL65898843,34,133,OH,100/300,1500,1805.91,M,BS,Medical,35167.83313702959,11938.74497623375,Fire Damage,Trivial Damage,5,2,1,1,NO,YES,3661.81,Audi,2016,2894.35,886.54,445.12,N
POL86844380,61,7,IL,500/1000,2000,2246.84,F,High School,Finance,8578.680627744667,14397.315854761859,Parked Car Damage,Trivial Damage,12,1,3,0,NO,NO,3767.620186948147,BMW,2012,182.05,106.4,6.6,Y
POL68414579,50,76,PA,500/1000,1000,3389.6,M,PhD,Education,47542.82958299187,28682.635854564796,Multi-Vehicle Collision,Trivial Damage,6,3,0,0,YES,YES,3509.77,Chevrolet,2010,2609.12,1065.54,223.57,N
POL55738156,29,11,PA,250/500,500,1004.07,M,BS,Legal,14183.834425965613,27734.57650477197,Hit and Run,Total Loss,11,2,1,0,NO,NO,13408.72,Toyota,2022,6725.4,1933.99,3341.75,N
POL79972815,66,193,PA,500/1000,1000,4247.19,F,MS,Finance,9636.967093864452,18337.96823775844,Broken Windshield,Trivial Damage,16,2,0,1,YES,NO,2857.57,Ford,2025,1774.03,610.25,424.46,N
POL61302327,73,52,NY,250/500,2000,1149.95,F,PhD,Finance,3007.92831453382,596.1548409054485,Theft,Major Damage,16,1,1,0,YES,YES,14467.114031951089,Mercedes,2015,1199.27,455.19,109.35,Y
POL63916949,20,98,IN,250/500,500,3799.77,M,High School,Tech,27518.566001837848,16669.02447841496,Vehicle Rollover,Major Damage,15,2,1,0,YES,YES,7225.7,Ford,2024,3411.99,964.83,127.47,N
POL73976876,60,35,OH,250/500,1000,1817.38,F,BS,Other,47423.189525198795,2054.6133403791655,Vehicle Rollover,Major Damage,10,1,0,1,YES,YES,1441.46,BMW,2011,1070.76,552.58,21.13,N
POL59647181,66,144,IN,500/1000,1500,1669.87,M,BS,Finance,6779.412535058971,10791.93222451114,Fire Damage,Total Loss,21,1,1,0,NO,YES,18205.08,Chevrolet,2015,7934.27,2462.44,1401.08,N
POL75340961,72,27,PA,250/500,1500,4195.69,M,PhD,Education,6041.5151139141035,9134.385570545948,Broken Windshield,Minor Damage,13,2,0,0,YES,YES,5930.27,Toyota,2017,3272.46,2351.59,1367.51,N
POL99751175,43,1,IL,250/500,2000,2984.91,F,PhD,Tech,13629.881611311579,19442.433676836186,Multi-Vehicle Collision,Minor Damage,18,3,0,0,YES,YES,23115.24567201889,Mercedes,2022,3118.49,976.23,881.32,Y
POL63440602,52,149,NY,100/300,2000,1424.74,M,MS,Medical,33269.694649153906,536.364069929941,Theft,Trivial Damage,20,1,2,1,YES,YES,401.78,Toyota,2024,180.81,84.46,71.81,N
POL10916269,25,1,IN,500/1000,2000,511.46,M,High School,Tech,27390.675318925896,23661.12013576051,Broken Windshield,Trivial Damage,23,1,0,1,NO,NO,5555.330962090763,BMW,2024,649.87,360.14,42.34,Y
POL69672783,69,6,IL,250/500,500,4878.66,M,PhD,Education,4810.348014012306,24792.638156323435,Multi-Vehicle Collision,Total Loss,21,1,0,0,YES,NO,45153.00105550258,Toyota,2012,4608.34,1761.15,1193.78,Y
POL32263731,53,14,PA,100/300,2000,2441.24,F,High School,Construction,22115.012074015634,970.463774722562,Parked Car Damage,Major Damage,18,1,1,1,YES,NO,6533.09,Mazda,2025,3840.27,1668.72,102.11,N
POL96824369,70,223,PA,250/500,500,2288.4,M,High School,Retail,3346.6143191577203,2454.377718316497,Hit and Run,Minor Damage,18,2,0,1,YES,NO,6202.67,Chevrolet,2007,4608.09,1822.06,1365.64,N
POL81200678,71,138,PA,500/1000,1000,726.42,M,BS,Other,42595.17392955917,27620.448923871038,Vehicle Rollover,Major Damage,14,2,0,0,NO,YES,21766.87611859808,Ford,2016,2086.11,339.58,368.65,Y
POL97267156,24,23,PA,100/300,1500,4524.82,M,PhD,Tech,5355.588961421143,18479.486483190656,Broken Windshield,Major Damage,4,2,2,1,YES,NO,6542.33,Ford,2009,3692.31,783.24,386.93,N
POL91470129,63,194,NY,100/300,1000,1132.64,F,PhD,Construction,23564.915589154378,28810.458590212584,Parked Car Damage,Trivial Damage,11,1,0,2,YES,NO,3839.8,Audi,2006,2147.35,1466.42,1041.02,N
POL83945416,63,29,NY,250/500,1500,2009.55,F,MS,Retail,25523.17908092065,13727.945223389846,Vehicle Rollover,Total Loss,12,1,1,1,NO,YES,9344.7,Audi,2016,5674.32,2599.02,1689.66,N
POL46071500,53,5,IN,250/500,2000,2394.97,F,BS,Tech,26506.313613139853,5719.042968751213,Broken Windshield,Minor Damage,22,1,1,0,YES,NO,22415.71968351843,Ford,2017,1942.87,1222.58,505.25,Y
POL66528530,33,65,PA,500/1000,1000,4145.48,M,PhD,Tech,30457.745729420792,11105.279270643143,Parked Car Damage,Minor Damage,23,3,0,0,YES,YES,4021.25,Mercedes,2020,1692.01,1503.78,451.51,Y
POL04557868,41,60,NY,500/1000,1000,2117.6,F,PhD,Finance,35079.12104420679,27869.756868338707,Broken Windshield,Major Damage,16,1,0,0,YES,YES,36743.57358049864,Ford,2018,6050.01,2922.25,1872.43,Y
